Date,Positive,Negative,Deaths
2020-01-21,1,,0
2020-01-22,1,,0
2020-01-23,1,,0
2020-01-24,1,,0
2020-01-25,1,,0
2020-01-26,1,,0
2020-01-27,1,,0
2020-01-28,1,,0
2020-01-29,1,,0
2020-01-30,1,,0
2020-01-31,1,,0
2020-02-01,1,,0
2020-02-02,1,,0
2020-02-03,1,,0
2020-02-04,1,,0
2020-02-05,1,,0
2020-02-06,1,,0
2020-02-07,1,,0
2020-02-08,1,,0
2020-02-09,1,,0
2020-02-10,1,,0
2020-02-11,1,,0
2020-02-12,1,,0
2020-02-13,1,,0
2020-02-14,1,,0
2020-02-15,1,,0
2020-02-16,1,,0
2020-02-17,1,,0
2020-02-18,1,,0
2020-02-19,1,,0
2020-02-20,1,,0
2020-02-21,1,,0
2020-02-22,1,,0
2020-02-23,1,,0
2020-02-24,1,,0
2020-02-25,1,,0
2020-02-26,1,,0
2020-02-27,1,,0
2020-02-28,3,,0
2020-02-29,6,,0
2020-03-01,13,,0
2020-03-02,18,,3
2020-03-03,27,,9
2020-03-04,39,,10
2020-03-05,70,,10
2020-03-06,79,,15
2020-03-07,102,,16
2020-03-08,136,1110,18
2020-03-09,162,1149,21
2020-03-10,267,2175,24
2020-03-11,366,3037,29
2020-03-12,457,4350,31
2020-03-13,568,6001,37
2020-03-14,642,7122,40
2020-03-15,769,9451,42
2020-03-16,904,11582,48
2020-03-17,1012,13117,52
2020-03-18,1187,15918,66
2020-03-19,1376,19366,74
2020-03-20,1524,21719,83
2020-03-21,1793,25328,94
2020-03-22,1996,28879,95
2020-03-23,2221,31712,110
2020-03-24,2469,31712,123
2020-03-25,2580,31712,132
2020-02-26,3207,43173,147
